Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
American Samoa,ASM,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,0.147119402,43.69674459,29.74600378,44.56736694,76.61307549,51.05803597,46.48987286,78.23501799,129.6057348,71.79115301,49.58945231,35.29605312,44.87101485,78.16732451,87.5811228,135.1178483,70.03727791,74.46774141,115.8431071,73.61982533,46.24776469,62.50939144,33.21189776,55.09288917,59.53040204,133.1428725,141.2395944,126.0818051,108.1395938,168.311883,76.13962227,19.94664578,94.34990613,39.29696766,87.44386649,102.5202404,65.35341831,218.6099297,173.9041655,26.38403934,
Australia,AUS,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041259799,1.006502303,3.18478986,19.61827037,15.55497723,12.41272704,23.4822824,15.19651207,21.22326266,17.28499366,28.32626492,42.74499966,36.51886666,21.15933305,25.80003217,24.32539145,26.24427534,26.82748705,25.904069,17.57280382,31.2228758,36.31861498,
Burundi,BDI,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,2.702082003,2.531355895,3.824481518,2.087496607,2.68596132,1.578417127,2.831433926,3.217804567,3.909788489,4.40030192,5.111201167,6.180876744,7.261789484,7.496615917,10.30671231,12.91001256,11.69659981,12.45351498,18.86530463,23.47440036,28.09861438,28.45656453,28.765565,30.66902195,29.76745192,28.72969143,38.76091499,38.50230687,37.9674949,37.84679206,46.83481056,44.59305705,52.57468579,36.13602536,50.89776618,46.20830242,17.55823593,8.85459669,10.66276324,11.44642859,13.9520542,20.3439612,24.4382881,31.35315803,48.46905864,46.83933578,53.57609792,57.51465603,60.55462021,62.88671262,68.22883705,60.25452703,53.07237301,
Belgium,BEL,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.008224969,0.600161719,1.498063304,1.674966137,6.986647654,6.79238402,5.56429483,5.952184968,4.712124684,4.615948841,5.069178466,9.751203002,6.593623532,8.514266863,10.38452251,16.58310754,15.16962631,14.22385587,17.12613566,23.38255895,23.73034709,21.25474137,20.27290845,20.99446476,18.01887046,21.90441781,30.50663163,29.40959091,33.71555105,55.38807007,53.36243527,51.26072716,50.02392982,51.45796984,44.21792101,46.78850679,46.59572256,34.68630081,31.33738935,31.28555472,35.0319727,38.73079401,29.54114127,39.11198496,49.70467497,42.39973739,47.29222633,54.47838585,71.48769131,73.80976266,72.46315852,70.5832791,50.8750533,
Burkina Faso,BFA,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,0.041413947,0.275815402,0.893086643,0.823418827,3.02026401,3.337282548,3.207541032,3.672080584,4.197613562,4.341398929,3.909613435,5.030245245,5.891672536,9.594490301,15.9469037,14.37961001,12.73024051,17.04501857,24.02148582,29.40198233,30.77310915,30.75520983,29.36329743,24.67542498,24.29611894,24.39080569,33.90751624,32.94563835,34.31899215,30.91904555,37.05921882,46.36970461,46.61445549,49.04384446,44.06827384,48.55857495,40.36996838,34.54858152,36.46662842,35.33079677,15.48766948,33.98102139,35.76331575,42.73215302,49.29778128,51.65948948,65.21945005,66.76466404,68.2936,71.73384347,68.36039805,62.21322459,70.38457325,
Bangladesh,BGD,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,,,,,,,,,,,,0.227125303,3.255634688,6.042492542,7.496698689,14.82899653,6.73327828,10.33683621,12.75463769,14.4894605,15.59690098,12.96586002,15.36171674,11.66033439,12.92771436,11.94779104,14.74473732,18.02024824,15.80641487,17.17409094,19.48822921,17.10326113,16.17339095,12.0390738,14.84959993,10.6927875,10.03317819,8.102424649,9.122007092,9.382625287,8.859427965,7.746929787,6.61466034,10.02177044,10.01061812,9.214017127,8.429564034,10.34596712,13.9935829,8.199294864,9.362749728,9.747457176,13.9117934,
